success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
,,,,,image-keyboard-response,145,536756,0.0-7.0-3.0-0.19,1,,1793,img/testing_events/Cb/Test_Cb_Event_23.jpg,n,response,Cb,n,TRUE
,,,,,image-keyboard-response,146,538792,0.0-7.0-3.0-0.20,1,,2020,img/testing_events/Cb/Test_Cb_Event_4.jpg,e,response,Cb,e,TRUE
,,,,,image-keyboard-response,147,541280,0.0-7.0-3.0-0.21,1,,2479,img/testing_events/Cb/Test_Cb_Event_1.jpg,u,response,Cb,u,TRUE
,,,,,image-keyboard-response,148,542693,0.0-7.0-3.0-0.22,1,,1404,img/testing_events/Cb/Test_Cb_Event_2.jpg,c,response,Cb,c,TRUE
,,,,,image-keyboard-response,149,545444,0.0-7.0-3.0-0.23,1,,2743,img/testing_events/Cb/Test_Cb_Event_7.jpg,e,response,Cb,n,FALSE
,,,,,image-keyboard-response,150,551450,0.0-7.0-4.0-0.0,1,,5996,img/testing_events/Ca/Test_Ca_Event_23.jpg,e,response,Ca,c,FALSE
,,,,,image-keyboard-response,151,559962,0.0-7.0-4.0-0.1,1,,8506,img/testing_events/Ca/Test_Ca_Event_22.jpg,u,response,Ca,u,TRUE
,,,,,image-keyboard-response,152,566291,0.0-7.0-4.0-0.2,1,,6324,img/testing_events/Ca/Test_Ca_Event_16.jpg,e,response,Ca,n,FALSE
,,,,,image-keyboard-response,153,567637,0.0-7.0-4.0-0.3,1,,1330,img/testing_events/Ca/Test_Ca_Event_14.jpg,u,response,Ca,u,TRUE
,,,,,image-keyboard-response,154,569854,0.0-7.0-4.0-0.4,1,,2213,img/testing_events/Ca/Test_Ca_Event_18.jpg,c,response,Ca,u,FALSE
,,,,,image-keyboard-response,155,571361,0.0-7.0-4.0-0.5,1,,1503,img/testing_events/Ca/Test_Ca_Event_4.jpg,n,response,Ca,n,TRUE
,,,,,image-keyboard-response,156,574044,0.0-7.0-4.0-0.6,1,,2679,img/testing_events/Ca/Test_Ca_Event_19.jpg,u,response,Ca,c,FALSE
,,,,,image-keyboard-response,157,575343,0.0-7.0-4.0-0.7,1,,1294,img/testing_events/Ca/Test_Ca_Event_1.jpg,e,response,Ca,e,TRUE
,,,,,image-keyboard-response,158,578427,0.0-7.0-4.0-0.8,1,,3075,img/testing_events/Ca/Test_Ca_Event_9.jpg,u,response,Ca,e,FALSE
,,,,,image-keyboard-response,159,579843,0.0-7.0-4.0-0.9,1,,1408,img/testing_events/Ca/Test_Ca_Event_7.jpg,c,response,Ca,c,TRUE
,,,,,image-keyboard-response,160,581017,0.0-7.0-4.0-0.10,1,,1159,img/testing_events/Ca/Test_Ca_Event_12.jpg,c,response,Ca,n,FALSE
,,,,,image-keyboard-response,161,584144,0.0-7.0-4.0-0.11,1,,3121,img/testing_events/Ca/Test_Ca_Event_24.jpg,n,response,Ca,n,TRUE
,,,,,image-keyboard-response,162,585024,0.0-7.0-4.0-0.12,1,,876,img/testing_events/Ca/Test_Ca_Event_5.jpg,e,response,Ca,e,TRUE
,,,,,image-keyboard-response,163,586990,0.0-7.0-4.0-0.13,1,,1957,img/testing_events/Ca/Test_Ca_Event_6.jpg,u,response,Ca,u,TRUE
,,,,,image-keyboard-response,164,588925,0.0-7.0-4.0-0.14,1,,1925,img/testing_events/Ca/Test_Ca_Event_11.jpg,e,response,Ca,c,FALSE
,,,,,image-keyboard-response,165,591064,0.0-7.0-4.0-0.15,1,,2134,img/testing_events/Ca/Test_Ca_Event_2.jpg,u,response,Ca,u,TRUE
,,,,,image-keyboard-response,166,595838,0.0-7.0-4.0-0.16,1,,4764,img/testing_events/Ca/Test_Ca_Event_21.jpg,u,response,Ca,e,FALSE
,,,,,image-keyboard-response,167,596972,0.0-7.0-4.0-0.17,1,,1119,img/testing_events/Ca/Test_Ca_Event_8.jpg,e,response,Ca,n,FALSE
,,,,,image-keyboard-response,168,598728,0.0-7.0-4.0-0.18,1,,1747,img/testing_events/Ca/Test_Ca_Event_10.jpg,c,response,Ca,u,FALSE
,,,,,image-keyboard-response,169,600529,0.0-7.0-4.0-0.19,1,,1794,img/testing_events/Ca/Test_Ca_Event_20.jpg,u,response,Ca,n,FALSE
,,,,,image-keyboard-response,170,602769,0.0-7.0-4.0-0.20,1,,2232,img/testing_events/Ca/Test_Ca_Event_3.jpg,c,response,Ca,c,TRUE
